276;5;0;0;0;0;0
378;3;-140;62;1531;63;77
885;1;-734;290;9469;286;470
21015;2;-466;1074;10083;279;493
21320;1;615;884;9574;280;493
21423;2;1191;347;9480;281;493
22033;1;853;-288;10443;343;494
145018;3;308;120;8972;333;514
145648;1;593;-84;9516;331;515
146907;2;1042;-152;10091;296;515
147668;1;997;17;9935;357;514
152723;3;457;234;8717;431;515
153132;1;987;-105;9024;451;515
153247;2;1069;-263;9810;370;515
153468;4;1251;-472;11368;328;515
153894;0;844;-152;10675;148;516
154098;1;631;3;9629;243;516
154318;3;435;88;8654;208;517
154647;1;842;-10;9054;420;518
154849;2;1266;-48;9524;465;519
155593;1;789;-124;10749;743;519
156318;0;406;-365;9969;173;518
159475;1;542;14;10008;253;517
160217;0;552;2;10017;122;516
228747;1;726;-42;10086;299;523
229489;0;978;73;10001;28;522
229590;2;1009;62;10013;28;521
229807;0;570;-148;9740;179;521
229908;1;629;-118;9730;245;521
230998;0;221;-11;10032;145;521
238317;1;103;47;10080;219;520
238633;0;121;9;10046;198;520
241323;1;24;46;10038;327;520
242068;0;69;73;10057;58;520
244273;1;12;1;10003;374;521
245217;2;6;-1219;9687;197;521
245963;0;-213;-909;9884;136;521
246609;2;-834;-1142;9857;54;521
247158;0;-665;-933;10019;29;521
250274;2;-1114;-717;10055;0;520
251298;0;-996;-599;9955;0;521
263619;1;-390;282;10135;207;519
264150;0;-195;282;10091;117;519
264459;1;-215;355;10096;200;519
264560;0;-221;354;10096;198;520
266218;1;-370;-3;10095;229;519
266938;0;-896;210;10082;116;519
267362;1;-794;119;9974;366;519
268128;0;-410;-167;10102;90;520
268652;2;-1157;-326;9976;103;520
277643;1;-981;134;10004;382;521
278054;0;-541;-76;10074;117;521
279735;1;-151;-155;10053;364;520
280445;2;-344;-1063;9881;368;520
280753;1;-39;-728;9891;394;520
281682;0;-141;-39;10017;185;520
283163;2;-182;1022;10044;0;520
286318;0;379;968;10002;51;520
287138;2;416;1045;9993;3;519
287247;0;406;999;10024;3;519
288083;2;656;1046;9996;38;519
288718;0;734;991;9992;0;519
289124;2;753;1003;9991;0;519
289232;0;734;995;9999;0;519
291644;2;-1060;218;10056;78;519
291848;0;-902;352;10031;148;519
293775;1;391;438;10339;603;518
293987;2;1025;856;10595;623;518
294508;1;-57;232;10140;784;519
295555;0;-42;388;10116;146;518
304784;1;-836;1;10107;247;516
308338;0;-198;432;10104;106;516
309803;1;-119;418;10135;200;515
310213;0;-164;603;10177;197;514
310958;2;-48;1004;9877;197;514
312103;1;-15;897;10084;308;514
314222;0;-26;559;10072;190;513
314333;1;-73;565;10029;223;513
315693;0;-304;508;9993;195;513
316933;2;257;1017;10149;142;513
318842;0;829;854;10120;126;513
320498;1;550;-63;10088;227;513
321638;0;-162;117;10068;173;513
332174;1;-237;140;10063;251;513
332807;0;-999;-70;10203;88;513
332918;2;-1026;-332;10219;92;513
335201;0;-987;-792;9784;107;514
335608;1;-312;-213;9804;328;514
336122;2;-1315;-288;9984;371;514
337193;1;-849;412;9820;259;514
337395;0;-482;622;10058;124;514
343603;1;-69;433;10239;235;514
344938;0;95;543;9995;194;514
345043;1;102;563;10033;272;514
346183;0;404;248;10131;195;514
347978;1;305;392;9618;240;515
348395;0;186;254;10593;169;515
349347;1;-221;341;10575;218;514
349650;0;-321;706;9955;74;514
349858;1;-280;750;10785;233;514
350992;0;-64;149;9941;82;514
353188;2;-295;1018;10090;1;515
353390;0;-288;992;10060;1;515
353697;2;-282;1011;10031;0;515
353808;0;-291;990;10026;0;515
354028;2;-293;1024;10038;0;515
354879;0;-195;861;10242;0;514
364549;2;-34;1070;10214;0;513
364868;0;-59;861;9751;11;514
370258;1;73;355;10311;249;513
371022;0;129;322;9904;193;514
374110;1;-170;-63;9756;231;513
374749;0;-102;62;9696;156;514
381878;1;-238;-513;9659;212;514
382088;0;-310;-563;10076;106;514
383663;1;-583;-602;10157;213;515
384302;0;-373;-566;10552;170;515
386391;1;-280;-650;10511;238;515
386612;0;-184;-486;9559;104;514
387254;1;-73;-727;9777;211;515
387458;0;-98;-687;10506;172;515
387998;1;-155;-377;10366;294;515
389949;0;-76;-287;10069;185;515
401312;1;135;-390;9811;245;517
401848;0;127;-223;10200;178;517
401957;1;93;-243;10083;245;517
402068;0;161;-158;9966;113;516
406757;2;-519;1152;10086;15;516
408709;1;-719;-448;10086;457;515
409018;0;-329;91;10044;59;516
410804;1;-318;77;10062;361;516
412132;0;192;-81;9761;150;516
413547;1;-663;-18;10160;242;516
414280;0;31;795;10056;160;516
417259;1;-870;-347;10044;354;515
417770;2;-619;-1018;10060;703;515
418413;0;657;-908;10000;76;515
419243;2;719;1021;10033;53;516
419868;1;31;920;10049;417;515
420478;0;-446;650;10131;197;515
420680;1;-543;447;10074;261;515
421668;0;-88;-237;9990;117;515
422222;1;6;113;10108;269;514
423158;0;-661;-297;10108;175;515
423368;1;-719;-177;10185;208;515
423990;0;-525;-104;10081;185;515
429713;1;234;-42;10054;238;515
430150;2;1092;-56;10026;260;515
430617;0;798;-72;10063;22;515
432473;2;-1112;-66;10066;201;515
433195;0;-795;-48;9856;146;514
434429;1;786;31;10080;219;514
434739;2;1011;42;9986;344;514
434840;1;923;28;10047;340;514
435150;0;761;79;10010;188;515
435267;1;614;123;10028;203;515
435377;0;448;214;10060;129;515
435928;2;636;1046;10079;219;514
438198;0;-890;-644;10239;44;514
439778;2;-1012;-553;10105;1;515
439890;0;-937;-619;10093;77;515
441130;2;-90;1140;10157;39;515
441758;0;826;836;10071;157;515
441962;2;1035;542;10026;157;515
442164;0;966;204;10111;127;515
443301;2;1134;-473;9968;0;515
444253;0;984;-177;9799;80;514
445073;1;553;-532;10116;217;515
445293;0;532;-274;9948;187;514
446388;1;300;109;10161;218;514
447348;0;252;248;9893;152;513
448689;1;132;-197;10223;205;513
448893;0;194;-248;9946;85;513
450007;1;-202;80;10139;210;512
450108;0;10;91;9739;108;512
454195;2;-418;-1036;10163;182;512
457198;0;192;-993;10115;15;513
459397;2;-1104;-1074;10149;103;512
460880;0;-861;254;10113;3;512
462692;1;-375;921;10101;264;513
462793;0;-349;872;10096;183;513
464053;1;-701;10;10402;410;513
465007;0;-323;89;10102;167;513
467015;1;-315;81;10057;209;513
467227;0;-313;75;10062;185;513
471662;4;-811;-174;11556;67;513
472083;2;-1712;-629;10660;202;513
472393;3;-1193;-1033;8467;206;513
472697;0;-632;-873;9426;50;513
477397;2;-517;-1042;10225;106;514
477508;0;-195;-948;9648;125;515
479703;1;3;3;9651;310;513
481599;0;45;44;10349;139;514
482688;1;-297;-86;10303;212;514
482898;0;-164;-224;9645;128;514
488143;2;1137;-132;9858;22;515
488453;0;992;-634;9832;20;515
490683;2;-1452;129;10146;621;517
491090;1;-494;255;10203;650;517
491503;0;489;-15;9991;190;517
491705;1;388;-60;9976;217;516
492013;0;488;102;9991;38;517
492435;1;-1;48;9186;264;517
493284;0;300;-129;10007;137;520
494988;1;296;-110;10020;224;520
495297;0;291;-92;10010;186;519
497077;2;1018;-20;10040;0;517
717054;0;923;-59;9990;157;519
718956;1;826;-46;9984;243;516
719833;0;755;-139;9994;163;516
722760;1;764;-88;10022;308;516
723402;0;627;-88;9912;172;517
749269;2;-1173;112;10495;14;513
749474;0;-835;223;10509;14;513
750368;3;-731;1268;8567;198;515
750799;1;-183;653;9054;693;515
751212;0;126;-71;10032;141;515
762038;2;-220;-1088;10072;0;510
762629;0;-819;-895;10122;0;510
762848;2;-1010;-318;10077;23;510
762957;0;-892;75;10174;23;510
763582;2;-510;1128;10119;17;510
763802;0;-386;984;10107;35;510
765692;2;744;1031;10028;0;510
766222;0;711;848;10066;0;509
766868;2;1156;733;10302;0;509
767584;0;995;-346;10346;0;509
779498;1;-49;69;10055;219;508
779927;0;-51;74;10065;165;508
801948;2;-303;1099;10135;181;506
802463;0;187;890;10154;182;506
803187;1;16;432;9994;311;506
803963;0;402;-513;10026;166;507
804374;1;803;-689;9881;319;506
805114;0;-258;24;10093;99;506
806894;1;-26;12;10029;244;506
807623;0;-32;15;10055;108;506
808908;1;-919;-4;9195;204;506
809009;3;-689;-12;8947;481;506
809114;1;-546;-26;9074;937;506
809222;3;-331;-27;8957;1065;506
809328;1;-196;-19;9021;1057;506
809864;0;40;77;10155;104;506
810397;2;68;1124;10100;3;506
810803;0;706;937;9512;22;506
810904;2;1132;756;9556;18;506
812189;0;856;337;10152;141;505
814313;2;714;1009;9867;42;505
814515;0;719;968;9899;0;505
816199;2;-1051;-982;10216;21;505
817032;1;-883;-115;10024;442;505
818674;0;-598;400;10016;157;510
819972;1;-482;410;9501;373;517
820714;0;-573;430;10104;151;519
823473;2;1043;535;9916;64;512
824423;0;891;444;9992;63;509
826747;1;114;466;10041;229;509
827488;0;116;472;10034;193;509
1139378;1;215;524;9987;209;512
1139479;0;235;462;10001;69;512
1139794;1;168;489;10093;211;511
1140732;0;-239;465;10079;125;510
1144030;1;-292;465;10069;232;510
1144563;0;-257;457;10073;161;509
1146898;1;249;473;9977;241;510
1147543;0;468;207;10012;174;510
1147652;1;455;233;9986;203;510
1147763;0;431;221;9975;156;510
1148837;1;389;310;10014;222;511
1149798;0;-330;329;10067;54;512
1153253;2;-1035;509;10082;97;511
1153913;0;-996;141;10045;0;512
1155314;2;-1028;6;9479;78;511
1155415;3;-1350;764;8419;413;511
1156025;1;-638;445;9382;606;511
1165001;2;-1056;20;10061;302;509
1168554;1;-979;-184;10049;301;509
1171574;2;-1013;-456;10002;302;510
1171683;1;-984;-489;10004;304;510
1171784;2;-1016;-549;9916;304;510
1173848;1;-900;533;10189;304;509
1198545;2;-466;-1178;10009;297;508
1199393;1;-439;-868;10019;299;508
1204229;2;-482;1115;10581;297;510
1204338;1;-628;910;10228;302;510
1225989;2;-538;-1081;10026;302;508
1227323;1;-501;-962;10006;296;508
1227663;2;-453;-1116;9999;299;508
1228600;1;-464;-985;9999;297;508
1229020;2;-455;-1091;10006;297;508
1230367;1;-524;-971;10014;298;508
1252765;2;-441;1130;10257;297;508
1253187;1;-465;939;10201;297;508
1254443;2;-405;-1219;9937;300;508
1255379;1;-386;-649;10008;318;507
1259324;2;-473;-1046;9770;298;507
1259537;1;-457;-977;10040;303;507
1259850;2;-365;-1090;9935;305;507
1260068;1;-280;-853;10318;302;507
1260278;2;-202;-1168;10077;300;507
1261432;1;-571;-939;10013;301;507
1262673;2;-1030;-934;9988;302;507
1264554;1;278;-901;10136;304;507
1265199;2;-63;-1029;9993;296;508
1266063;1;-338;-856;10305;321;508
1283812;2;-390;1047;10035;305;509
1284524;1;-443;908;9982;294;509
1289688;3;-1002;-332;8971;311;509
1290619;1;-195;-12;9601;300;509
1290738;4;-49;-159;11013;304;509
1290839;1;-146;-353;10661;305;509
1291053;2;-1128;-1224;9990;303;509
1296364;1;-816;-917;9691;306;511
1305353;2;1262;207;10023;297;502
1308493;1;945;25;10010;303;495
1573755;2;-1361;-223;9645;299;509
1574598;1;-973;887;9684;298;510
1574702;2;-1343;1233;10245;297;510
1575017;1;-897;984;10113;299;510
1577108;2;-1517;822;9813;300;509
1577310;3;-3053;1537;8807;300;509
1746092;2;-4137;-967;9045;297;497
1747133;3;-1084;-1201;8783;295;497
1747549;1;-237;-990;9197;295;496
1747972;4;-592;628;11309;298;497
1748174;2;-54;1229;10969;296;497
1748489;1;-268;875;9758;295;497
1755638;2;1163;463;9937;293;502
1759043;1;898;320;10155;294;496
